"id","number_of_rooms","max_occupancy","pricing_per_person_activated","max_adults","events_allowed","pets_allowed","smoking_allowed","children_allowed"
"61379",1,9,True,9,False,False,False,False
"56348",1,1,False,1,False,False,False,False
"61182",1,5,False,5,False,False,False,False
"53326",1,4,False,4,False,False,False,False
"7762",2,2,True,2,False,False,False,False
"48056",1,8,False,8,False,False,False,False
"64740",1,6,False,6,False,False,False,False
"46843",1,8,False,8,False,False,False,False
"31968",1,4,False,4,False,False,False,False
"58924",1,2,False,1,False,False,False,False
"34186",4,1,False,1,False,False,False,False
"63344",1,1,False,1,False,False,False,False
"17823",1,12,False,12,False,False,False,False
"73985",1,2,True,2,False,False,False,False
"65771",1,2,True,2,False,False,False,False
"66246",1,3,True,3,False,False,False,False
"77643",1,2,False,2,False,False,False,False
"58970",1,3,True,3,False,False,False,False
"59359",1,4,False,3,False,False,False,False
"59002",1,5,True,1,False,False,False,False
"53068",1,4,False,4,False,False,False,False
"37801",1,4,False,4,False,False,False,False
"67188",1,3,False,3,False,False,False,False
"74368",1,2,False,2,False,False,False,False
"58922",1,3,True,1,False,False,False,False
"37436",1,3,True,2,False,False,False,False
"59004",1,2,False,1,False,False,False,False
"5746",1,2,True,2,False,False,False,False
"58541",1,2,False,2,False,False,False,False
"56347",1,2,True,2,False,False,False,False
"67414",1,6,False,6,False,False,False,False
"47793",1,4,True,4,False,False,False,False
"61012",1,2,False,2,False,False,False,False
"61183",1,5,False,5,False,False,False,False
"93760",1,4,False,4,False,False,False,False
"64453",1,2,True,2,False,False,False,False
"33929",1,2,False,2,False,False,False,False
"73986",1,2,False,2,False,False,False,False
"33928",1,2,False,2,False,False,False,False
"33931",1,2,False,2,False,False,False,False
"54004",1,4,True,4,False,False,False,False
"37733",1,4,True,4,False,False,False,False
"33930",1,2,False,2,False,False,False,False
"37732",1,4,True,4,False,False,False,False
"75420",1,2,False,2,False,False,False,False
"37802",1,4,False,4,False,False,False,False
"60873",2,2,False,2,False,False,False,False
"61013",1,2,False,2,False,False,False,False
"58994",1,4,True,4,False,False,False,False
"58995",1,2,False,2,False,False,False,False
"74405",13,1,False,1,False,False,False,False
"61380",1,6,True,6,False,False,False,False
"56879",1,2,True,2,False,False,False,False
"42603",1,3,True,2,False,False,False,False
"81114",1,5,False,3,False,False,False,False
"14160",1,2,False,2,False,False,False,False
"55735",1,6,False,6,False,False,False,False
"68430",4,5,False,4,False,False,False,False
"40665",1,4,False,4,False,False,False,False
"59609",1,5,True,5,False,False,False,False
"7028",1,4,True,4,False,False,False,False
"5745",1,2,True,2,False,False,False,False
"77608",1,2,True,2,False,False,False,False
"39802",1,2,False,2,False,False,False,False
