hotel_id,target_date,segment,performance,recommendation,current_price,recommended_price,current_revpar,expected_revpar,peer_median_price,best_peer_price,best_peer_revpar,elasticity_used,reasoning,confidence,n_peers
6251,2024-06-15,urban_fringe,underperforming,RAISE,67.51100044824338,129.58,101.78,123.1,95.08,129.58,3554.22,-0.267,Hotel is underpriced vs best peer. Raise to €130.,high,8
5956,2024-06-15,urban_fringe,underperforming,RAISE,71.01943259098512,118.15,101.46,112.24,89.22,118.15,3595.15,-0.267,Hotel is underpriced vs best peer. Raise to €118.,medium,7
11819,2024-06-15,rural,underperforming,RAISE,58.094449156406924,120.38,40.57,54.98,67.63,120.38,471.19,-0.323,Hotel is underpriced vs best peer. Raise to €120.,high,8
10303,2024-06-15,resort_coastal,underperforming,LOWER,115.38424991674992,94.89,25.36,22.5,121.5,94.89,1464.03,-0.445,Hotel is overpriced vs best peer. Lower to €95.,high,9
10997,2024-06-15,small_town,underperforming,LOWER,213.89134807256235,127.48,126.59,90.59,111.24,127.48,7284.47,-0.497,Hotel is overpriced vs best peer. Lower to €127.,high,9
14395,2024-06-15,resort_coastal,on_par,HOLD,68.10333441742932,68.1,603.9,603.9,85.66,121.6,3005.2,-0.24,Hotel is performing on par with peers. Minor adjustments optional.,high,9
9221,2024-06-15,resort_coastal,underperforming,RAISE,62.232371794871796,199.27,6.64,9.96,56.94,199.27,1076.06,-0.445,Hotel is underpriced vs best peer. Raise to €199.,high,8
10019,2024-06-15,major_metro,underperforming,RAISE,97.39904502075748,219.73,27.23,10.99,80.0,219.73,582.47,-0.761,Hotel is underpriced vs best peer. Raise to €220.,medium,7
23832,2024-06-15,provincial_city,underperforming,RAISE,91.70969026689623,210.09,40.05,10.5,80.5,210.09,2701.21,-0.929,Hotel is underpriced vs best peer. Raise to €210.,medium,7
12262,2024-06-15,major_metro,underperforming,INVESTIGATE,227.42143741226033,227.42,712.43,712.43,125.8,200.9,8581.1,-0.41,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,high,9
19866,2024-06-15,resort_coastal,underperforming,RAISE,64.684,187.41,33.27,35.13,167.44,187.41,3239.54,-0.335,Hotel is underpriced vs best peer. Raise to €187.,medium,6
6271,2024-06-15,rural,underperforming,LOWER,167.5913034188034,85.39,108.66,65.07,127.69,85.39,9673.9,-0.357,Hotel is overpriced vs best peer. Lower to €85.,high,8
10176,2024-06-15,resort_coastal,on_par,HOLD,166.28318568155697,166.28,310.64,310.64,85.0,88.41,10748.31,-0.24,Hotel is performing on par with peers. Minor adjustments optional.,medium,7
2016,2024-06-15,rural,underperforming,RAISE,74.52649572649572,255.89,15.23,12.79,126.5,255.89,609.26,-0.597,Hotel is underpriced vs best peer. Raise to €256.,low,3
8826,2024-06-15,small_town,underperforming,LOWER,89.2245574980575,72.25,28.63,26.41,80.0,72.25,1543.11,-0.731,Hotel is overpriced vs best peer. Lower to €72.,medium,7
7883,2024-06-15,rural,underperforming,INVESTIGATE,124.25265285996056,124.25,142.0,142.0,107.86,138.82,2459.08,-0.322,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,medium,7
13700,2024-06-15,resort_coastal,underperforming,RAISE,88.36667484815752,210.09,27.19,25.37,77.78,210.09,2701.21,-0.441,Hotel is underpriced vs best peer. Raise to €210.,medium,7
8641,2024-06-15,rural,underperforming,INVESTIGATE,100.0,100.0,14.29,14.29,124.84,111.9,4092.47,-0.597,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,low,8
7742,2024-06-15,urban_core,on_par,HOLD,89.42433669792368,89.42,279.08,279.08,90.09,80.16,2003.98,-0.533,Hotel is performing on par with peers. Minor adjustments optional.,high,9
15372,2024-06-15,major_metro,underperforming,LOWER,369.7560256410256,288.84,150.34,134.6,142.58,288.84,6478.34,-0.668,Hotel is overpriced vs best peer. Lower to €289.,medium,7
14172,2024-06-15,urban_fringe,underperforming,RAISE,56.27454459344266,149.88,12.34,7.49,81.5,149.88,1117.68,-0.496,Hotel is underpriced vs best peer. Raise to €150.,high,10
18505,2024-06-15,rural,underperforming,RAISE,159.05586805555558,288.84,32.19,29.97,134.29,288.84,6478.34,-0.597,Hotel is underpriced vs best peer. Raise to €289.,high,8
11705,2024-06-15,urban_fringe,underperforming,LOWER,159.52042328042327,94.89,12.66,9.04,125.69,94.89,1464.03,-0.496,Hotel is overpriced vs best peer. Lower to €95.,medium,7
10289,2024-06-15,small_town,on_par,HOLD,110.84179850258236,110.84,470.51,470.51,130.17,490.19,3641.4,-0.403,Hotel is performing on par with peers. Minor adjustments optional.,high,8
14435,2024-06-15,urban_core,underperforming,INVESTIGATE,96.13084901715028,96.13,113.79,113.79,113.61,100.71,4344.97,-0.533,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,high,8
13281,2024-06-15,provincial_city,underperforming,INVESTIGATE,94.6258805340318,94.63,10.88,10.88,75.6,90.92,1337.81,-1.103,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,medium,7
19857,2024-06-15,resort_coastal,underperforming,LOWER,277.69979117904956,126.2,58.79,33.2,54.5,126.2,1840.04,-0.445,Hotel is overpriced vs best peer. Lower to €126.,medium,6
7790,2024-06-15,urban_core,on_par,HOLD,93.12695682382835,93.13,285.52,285.52,119.46,88.41,10748.31,-0.533,Hotel is performing on par with peers. Minor adjustments optional.,medium,7
